card_name,issuer_bank,card_type,annual_fee,joining_fee,grace_period,cashback_percentage,sign-up_bonus,reward_points,categories_for_rewards
Hdfc Millennia Credit Card,HDFC Bank,Regular,1000.0,1000.0,50 days,5% on online spends,"1,000 CashPoints on joining fee payment",1 CashPoint for every ₹150 spent,Online Shopping
Icici Amazon Pay Credit Card,ICICI Bank,Regular,0.0,0.0,50 days,5% on Amazon (Prime),None,1 Reward Point = ₹1,Online Shopping
Sbi Simplyclick Credit Card,SBI,Regular,0.0,0.0,21 days,N/A,Amazon gift voucher worth ?500,10x points on online shopping,Online Shopping
Axis Bank Ace Credit Card,Axis Bank,Regular,0.0,0.0,45 days,5% on bill payments,None,1.5% cashback on all spends,"Daily Spending, Utilities"
Standard Chartered Manhattan Platinum,Standard Chartered,Premium,999.0,999.0,20 days,5% at supermarkets,"BookMyShow vouchers worth ?2,000",3x points for all other spends,"Lifestyle, Dining"
Hdfc Regalia Credit Card,HDFC Bank,Premium,0.0,0.0,50 days,N/A,"Bonus of up to 15,000 points",4 Reward Points for every ₹150 spent,"Travel, Dining"
Citibank Premiermiles Credit Card,Citibank,Premium,3000.0,3000.0,30 days,N/A,None,Earn miles on every spend,Travel
Icici Sapphiro Credit Card,ICICI Bank,Premium,3500.0,0.0,50 days,N/A,None,Up to 2x points on dining,Lifestyle
Sbi Elite Credit Card,SBI,Premium,4999.0,0.0,21 days,N/A,Complimentary club memberships,High reward points on travel,Travel
Indianoil Axis Bank Premium Credit Card,Axis Bank,Regular,0.0,0.0,30 days,N/A,None,EDGE points on fuel purchases,Fuel
Bpcl Sbi Card Octane,SBI,Regular,0.0,0.0,30 days,N/A,Up to ?250 off on fuel transactions,Up to 25x rewards on fuel purchases,Fuel
Idfc First Power Plus Credit Card,IDFC FIRST Bank,Regular,0.0,0.0,30 days,N/A,None,Reward points on fuel transactions,Fuel
Hdfc Moneyback Credit Card,HDFC Bank,Regular,500.0,500.0,50 days,N/A,None,Earn reward points for every spend,Daily Spending
Kotak Royale Signature Credit Card,Kotak Mahindra Bank,Premium,999.0,0.0,30 days,N/A,None,High rewards on dining and shopping,-
Axis Bank Magnus Credit Card,Axis Bank,Premium,12500.0,12500.0,45 days,5% on Google Pay transactions,Complimentary airport lounge access,12 EDGE Rewards Points per ₹200 spent,"Travel, Dining"
American Express Platinum Travel Card,American Express,Super Premium,3500.0,3500.0,45 days,N/A,"10,000 Membership Rewards Points",1 point per ₹40 spent,"Travel, Lifestyle"
Yes Bank First Preferred Credit Card,Yes Bank,Premium,999.0,999.0,48 days,5% on online shopping,500 reward points on activation,4 reward points per ₹200 spent,"Shopping, Dining"
Hsbc Cashback Credit Card,HSBC,Regular,750.0,750.0,45 days,"1.5% on all spends, 10% on dining",None,No Rewards,"Daily Spending, Dining"
Kotak 811 Dreamdifferent Credit Card,Kotak Mahindra Bank,Regular,0.0,0.0,30 days,1% on all spends,500 reward points on card activation,2 reward points per ₹150 spent,Daily Spending
Indusind Bank Platinum Aura Edge,IndusInd Bank,Premium,7500.0,7500.0,45 days,N/A,"1,000 reward points on card activation",1.5 points per ₹100 spent,"Travel, Lifestyle"
Rbl Bank World Safari Credit Card,RBL Bank,Premium,3000.0,3000.0,30 days,N/A,"4,000 reward points on joining",1 Travel Reward Point per ₹100 spent,Travel
Dbs Vistara Infinite Credit Card,DBS Bank,Super Premium,10000.0,10000.0,48 days,N/A,"10,000 Vistara Points on activation",6 Vistara Points per ₹200 spent,Travel
Au Small Finance Bank Zenith+ Card,AU Small Finance Bank,Premium,4999.0,4999.0,50 days,5% on entertainment,"1,000 reward points on card activation",10 reward points per ₹100 spent on dining & entertainment,"Entertainment, Dining"
Idbi Bank Royale Signature Credit Card,IDBI Bank,Premium,2999.0,2999.0,45 days,N/A,Complimentary Club Vistara Silver membership,2 reward points per ₹100 spent,"Travel, Lifestyle"
Bank Of Baroda Premier Credit Card,Bank of Baroda,Premium,1000.0,1000.0,50 days,1% on all spends,"2,000 reward points on joining",2 reward points per ₹100 spent,Daily Spending
Federal Bank Celesta Credit Card,Federal Bank,Premium,750.0,750.0,45 days,5% on online shopping,"1,000 reward points on joining",3 reward points per ₹100 spent,Online Shopping
Kotak White Signature Credit Card,Kotak Mahindra Bank,Premium,2500.0,2500.0,30 days,N/A,"1,000 reward points on activation",2 reward points per ₹150 spent,"Lifestyle, Shopping"
Citi Rewards Credit Card,Citibank,Regular,1000.0,1000.0,30 days,N/A,"1,000 reward points on joining",10 reward points per ₹125 on online & retail purchases,"Shopping, Dining"
Sbi Card Prime,SBI,Premium,2999.0,2999.0,21 days,N/A,"e-Gift Voucher worth ?3,000","10 reward points per ₹100 on dining, movies, and department stores","Dining, Entertainment, Shopping"
Unknown Card,Unknown Bank,Regular,0.0,0.0,,N/A,None,No Rewards,Miscellaneous
