card_name,issuer_bank,card_type,annual_fee,joining_fee,grace_period,cashback_percentage,sign-up_bonus,reward_points,categories_for_rewards,issuer_bank_encoded,card_type_encoded,cashback_percentage_numeric,annual_fee_scaled,joining_fee_scaled
Hdfc Millennia Credit Card,HDFC Bank,Regular,1000.0,1000.0,50 days,5% on online spends,"1,000 CashPoints on joining fee payment",1 CashPoint for every ₹150 spent,Online Shopping,7,1,0.0,0.08,0.08
Icici Amazon Pay Credit Card,ICICI Bank,Regular,0.0,0.0,50 days,5% on Amazon (Prime),,1 Reward Point = ₹1,Online Shopping,9,1,0.0,0.0,0.0
Sbi Simplyclick Credit Card,SBI,Regular,0.0,0.0,21 days,,Amazon gift voucher worth ?500,10x points on online shopping,Online Shopping,15,1,0.0,0.0,0.0
Axis Bank Ace Credit Card,Axis Bank,Regular,0.0,0.0,45 days,5% on bill payments,,1.5% cashback on all spends,"Daily Spending, Utilities",2,1,0.0,0.0,0.0
Standard Chartered Manhattan Platinum,Standard Chartered,Premium,999.0,999.0,20 days,5% at supermarkets,"BookMyShow vouchers worth ?2,000",3x points for all other spends,"Lifestyle, Dining",16,0,0.0,0.07992,0.07992
Hdfc Regalia Credit Card,HDFC Bank,Premium,0.0,0.0,50 days,,"Bonus of up to 15,000 points",4 Reward Points for every ₹150 spent,"Travel, Dining",7,0,0.0,0.0,0.0
Citibank Premiermiles Credit Card,Citibank,Premium,3000.0,3000.0,30 days,,,Earn miles on every spend,Travel,4,0,0.0,0.24000000000000002,0.24000000000000002
Icici Sapphiro Credit Card,ICICI Bank,Premium,3500.0,0.0,50 days,,,Up to 2x points on dining,Lifestyle,9,0,0.0,0.28,0.0
Sbi Elite Credit Card,SBI,Premium,4999.0,0.0,21 days,,Complimentary club memberships,High reward points on travel,Travel,15,0,0.0,0.39992000000000005,0.0
Indianoil Axis Bank Premium Credit Card,Axis Bank,Regular,0.0,0.0,30 days,,,EDGE points on fuel purchases,Fuel,2,1,0.0,0.0,0.0
Bpcl Sbi Card Octane,SBI,Regular,0.0,0.0,30 days,,Up to ?250 off on fuel transactions,Up to 25x rewards on fuel purchases,Fuel,15,1,0.0,0.0,0.0
Idfc First Power Plus Credit Card,IDFC FIRST Bank,Regular,0.0,0.0,30 days,,,Reward points on fuel transactions,Fuel,11,1,0.0,0.0,0.0
Hdfc Moneyback Credit Card,HDFC Bank,Regular,500.0,500.0,50 days,,,Earn reward points for every spend,Daily Spending,7,1,0.0,0.04,0.04
